"Name","Url","Telephone","Latitude","Longitude","Address","County","Tags"
"Hungry Boba Pizzeria","https://www.hungrybobapizzeria.ie/","0035316336814","53.351338","-6.2795464","Unit 4, 8 Grangegorman Lower, Dublin, D07 X97Y","Dublin","Activity,Food and Drink,Experience,Restaurant,Fast Food"
"A Rural Experience Day Tours","http://www.aruralexperience.com","00353567727590","52.6297968743748","-7.07423970149609","Castlefield, Gowran, ","Kilkenny","Activity,Experience,Activity Operator,Tour"
"Teach an Tae Aran Café & Tea Rooms","https://www.cafearan.ie/","003539975092","53.06546109999999","-9.5252873","Inisheer, Aran Islands, ","Galway","Activity,Food and Drink,Experience,Cafe,Food Shops ,Shopping"
"A Heritage Walk of Old Galway",,"00353863480958","53.2721788149031","-9.04947254971209","Mr Liam Silke, Galway City Centre, ","Galway","Activity,Experience,Walking ,Walking,Activity Operator,Tour"
"A Spasso A Dublino - Italian Tour in Dublin","https://www.aspassoperdublino.com/","00353899644861","53.34224002305713","-6.251647725944508","15 Bawnville Close, , ","Dublin","Activity,Walking ,Walking,Activity Operator,Tour"
"A Touch of Ireland","https://atouchofireland.ie/","0035316680888","53.336932","-6.236283","Garden Level 39, Waterloo Road, Ballsbridge, ","Dublin","Activity,Activity Operator,Tour"
"Aasleagh Falls",,"","53.61960449999999","-9.6705825","River, Letterass, Erriff, , ","Mayo","Activity,Experience,Fishing,Angling,Nature and Wildlife"
"Abbey Ireland & UK","https://www.abbey.ie/","0035316486100","53.34460968243019","-6.276829060188334","City Gate, 22 Bridge Street Lower, Dublin City, ","Dublin","Activity,Experience,Activity Operator,Tour"
"Abbey Par 3 Golf Club","http://abbeypar3.com/","00353866084257","52.2321168","-6.863133599999999","Winningtown, Fethard, ","Wexford","Golf Course,Activity,Experience,Golf,Cafe,Food and Drink,Activity Operator,Food Shops ,Shopping"
"Abbey Theatre","https://www.abbeytheatre.ie/","0035318787222","53.3483986","-6.257178199999999","26/27 Abbey Street Lower, North City, Dublin, D01 K0F1","Dublin","Activity"
"Abbey Theatre Tours","https://www.abbeytheatre.ie/your-visit/tours-experiences/","0035318787222","53.3483986","-6.257178199999999","26/27 Abbey Street Lower, North City, Dublin, D01 K0F1","Dublin","Activity,Activity Operator,Tour"
"Abbeyderg Abbey and Graveyard","https://www.longford.ie/en/visit/explore-the-past/abbeyderg-abbey/abbeyderg-abbey.html","00353433346566","53.6382337","-7.787188899999999","Curraghmore, , ","Longford","Activity,Experience,Attraction,Historic Houses and Castle,Church Abbey,Monastery,Churches, Abbeys and Monastery,Ruins"
"Abbeyfeale Farmers Market","https://www.iomst.ie/market/abbeyfeale-farmers-market/","00353876866450","52.384547","-9.301963","The Square, Abbeyfeale, ","Limerick","Activity,Food and Drink,Experience,Restaurant,Shopping,Shopping Centres and Department Store,Food Shops "
"Abbeyleix Chauffeur Services","https://abbeyleixchauffeurservices.ie/chauffeur-tours-of-ireland/","00353831034327","52.9299434","-7.372373100000001","Boutari House, Ballytarsna, Abbeyleix, ","Laois","Activity,Experience,Transport,Activity Operator,Tour,Coach,Road"
"Abbeyleix Golf Club","https://abbeyleixgolfclub.ie/","00353578731450","52.92176300000001","-7.3372447","Rathmoyle Lodge, Ballyroan Rd, Rathmoyle, Abbeyleix, ","Laois","Golf Course,Activity,Experience,Golf,Activity Operator"
"Abbeyleix Heritage House","https://www.abbeyleixheritage.com/","00353578731653","52.9172919","-7.346411400000001","Heritage House, Rathmoyle, Abbeyleix, ","Laois","Activity,Experience,Tracing Your Ancestors,Attraction,Historic Houses and Castle,Museums and Attraction,Tour"
"Abbeyshrule Monastery","https://www.facebook.com/AbbeyshruleAbbey","00353433342577","53.57969142738988","-7.658347078712495","Drumanure, Abbeyshrule, ","Longford","Activity,Experience,Attraction,Historic Houses and Castle,Church Abbey,Monastery,Churches, Abbeys and Monastery,Ruins"
"About Ireland Taxi Tours","https://www.aboutirelandtaxitours.ie/","00353862352223","51.89841533167159","-8.474005710352685",", Cork City, ","Cork","Activity,Experience,Activity Operator,Tour"
"Cork Tours by About Ireland Taxi Tours","https://www.aboutirelandtaxitours.ie/tours/cork-tours/","00353862352223","51.8985143","-8.4756035",", , ","Cork","Activity,Experience,Activity Operator,Tour"
"Limerick Tours by About Ireland Taxi Tours","https://www.aboutirelandtaxitours.ie/tour/limerick-tours/","00353862352223","52.6638367","-8.6267343",", , ","Limerick","Activity,Experience,Activity Operator,Tour"
"Waterford Tours by About Ireland Taxi Tours","https://www.aboutirelandtaxitours.ie/tour/waterford-tours/","00353862352223","52.2429391","-7.1083647",", Waterford City, ","Waterford","Activity,Experience,Activity Operator,Tour"
"Kerry Tours by About Ireland Taxi Tours","https://www.aboutirelandtaxitours.ie/tour/kerry-tours/","00353862352223","52.15446069999999","-9.5668632","Kerry, , ","Kerry","Activity,Experience,Activity Operator,Tour"
"Kilkenny Tours by About Ireland Taxi Tours","https://www.aboutirelandtaxitours.ie/tour/kilkenny-tours/","00353862352223","52.6541454","-7.2447879",", , ","Kilkenny","Activity,Experience,Activity Operator,Tour"
"Dublin Tours by About Ireland Taxi Tours","https://www.aboutirelandtaxitours.ie/tours/dublin-tours/","00353862352223","53.3498053","-6.2603097",", , ","Dublin","Activity,Experience,Activity Operator,Tour"
"Galway Tours by About Ireland Taxi Tours","https://www.aboutirelandtaxitours.ie/tours/galway-tours/","00353862352223","53.27056400000001","-9.0566819",", Galway City, ","Galway","Activity,Experience,Activity Operator,Tour"
"Acapulco Mexican Restaurant","https://www.acapulco.ie/","0035316771085","53.343616","-6.264233299999999","7 South Great George's Street, Dublin, D02 EV81","Dublin","Activity,Food and Drink,Restaurant"
"ACET - Cork Language Centre International","https://www.acetireland.ie","00353214551661","51.9022032","-8.4692546","Wellington House, 16 St Patrick's Pl, Wellington Rd, , T23 AK82","Cork","Activity,Experience,Learning"
"Achill Archaeological Field School - Scoil Seandálúil Acla","https://achill-fieldschool.com/","00353861755838","53.9747652","-10.1285782","Achill Folklife Centre, Dooagh, Achill Island, , F28 HK11","Mayo","Activity,Experience,Learning,Activity Operator"
"Achill Bikes - Bike Rental","https://www.achillbikes.com/","00353872437686","53.9740896","-10.1327073","R319, Co. Mayo, Ireland, Keel West, Dooagh, , F28 R2P7","Mayo","Activity,Experience,Cycling,Activity Operator,Bike Rental"
"Achill Cliff House Restaurant","https://www.achillcliff.com/en/restaurant/about-restaurant","003539843400","53.976098","-10.0810517","Keel, Keel East, Achill Island, , ","Mayo","Activity,Food and Drink,Experience,Restaurant"
"Achill Experience Aquarium & Visitor Centre","https://achillexperience.ie/","003539843292","53.98398299999999","-10.080603","Crumpaun, Keel East, Achill, , F28 TX49","Mayo","Activity,Experience,Attraction,Zoos and Aquarium,Museums and Attraction,Nature and Wildlife,Food Shops ,Shopping"
"Achill Golf Club","https://achillgolf.com/","003539843456","53.97578","-10.0676021","The Sandy Banks Keel Achill Island, Keel East, Westport, F28 CX62","Mayo","Golf Course,Activity,Experience,Golf,Activity Operator"
"Achill Heritage Centre","https://achillheritagecentre.wordpress.com/","00353863406396","53.97036749999999","-9.979417299999998","Bunacurry, , F28 V4K7","Mayo","Activity,Experience,Learning,Tracing Your Ancestors,Attraction,Museums and Attraction"
"Achill Island (Acaill)","https://achilltourism.com/","003539820400","53.9517526424668","-9.99389294297557","Achill Tourism, Davitt Quater, Achill Sound, , ","Mayo","Activity,Experience,Craft,Shopping,Bird Watching,Nature and Wildlife,Climbing,Activity Operator,Cycling,Fishing,Angling,Golf,Horse Riding,Equestrian,Kayaking,Kitesurfing,Windsurfing,Surfing,Swimming,Swimming Pools and Water Park,Venue,Walking ,Walking,Island,Attraction,Offshore Island"
"Achill Island Distillery","https://irishamericanwhiskeys.com/","003539847898","53.97062769999999","-9.9827429","Unit 2 udaras na gaeltachta Bunnacurry Achill Island, Bunacurry, Westport, F28 AY75","Mayo","Activity,Experience,Food and Drink,Restaurant,Learning,Attraction,Museums and Attraction,Tour"
"Achill Island Heritage Tours","https://www.achillcoaches.com/","00353858505025","53.97327317397073","-10.136807550076355","Dooagh, Achill Island, , ","Mayo","Activity,Experience,Activity Operator,Tour"
